SL NO |DIST|PROJ|CIRC|CENTREID|CENTRE CODE|CENTRE|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70
28|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN00757|KANAKANAGAR|1|0|1|0|0|1|1|1|1|0|0|1|1|1|1|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|0|1|0|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
29|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN001685|ATHIGUPPE|1|0|1|1|1|1|1|1|1|1|0|1|1|1|1|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
30|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN00696|GOPALPURA 3|1|0|0|0|1|0|1|1|1|1|0|0|0|0|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|0|1|0|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
31|Bangalore|Bangalore central |Kuvempunagar 4th Circle|31206||SOUHARDA VRUTTA|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|1|1|1|0|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
32|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN001626|ARUNDHATHINAGAR|1|0|0|0|0|1|1|1|1|0|1|1|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
33|Bangalore|Bangalore central |Kuvempunagar 4th Circle|31295||RAMCHANDRAPURA|1|0|1|1|0|1|1|1|1|1|1|1|0|0|0|0|0|1|1|1|0|0|0|1|1|1|0|0|0|0|0|0|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
34|Bangalore|Bangalore central |Kuvempunagar 4th Circle|30795||SANJAYGANDHINAGAR|1|0|0|1|0|1|1|1|1|1|1|1|0|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|1|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
35|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN002718|BHOVEEPALYA|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
36|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN002715|MAHATMAGANDHINAGAR|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|0|0
37|Bangalore|Bangalore central |Kuvempunagar 4th Circle|33993||PRAKASHNAGAR|1|0|1|1|0|1|1|1|1|1|0|0|0|0|1|0|0|1|1|1|1|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0
