'TYPE','DISTRICT','BLOCK','CLUSTER','ID','SCHOOLNAME','Ward  Name or Gram Panchayath','Corporator  or Presedent'
'SCHOOL','BANGLORE  ','NORTH-4','CHIKKAJALA',33265,'GKHPS NAVARATHNA AGRAHARA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','CHIKKAJALA',33268,'GKLPS BEGUR','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32277,'GKMPS CHIKKA BANAVARA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32278,'GKHPS DODDA BYLAKERE','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32279,'GKHPS GUNI AGRAHARA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32280,'GKHPS IVARAKANDAPURA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32281,'GKHPS KODAGI THIRUMALA PURA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32282,'GKHPS KUMBARA HALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32283,'GKHPS SOLADEVANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32284,'GKLPS BILIJAJI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32285,'GKLPS HURALI CHIKKANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32286,'GKLPS KALATHAMMANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32287,'GKLPS KASAGHATTAPURA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32289,'GKLPS SASUVE GHATTA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32290,'GKLPS TARABANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32291,'GKLPS THAMMARASANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','DODDA BYLAGERE',32292,'GUHPS CHIKKABANAVARA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32368,'GKLPS KALENAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32369,'GKHPS MATHKUR','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32370,'GKHPS SHIVAKOTE','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32371,'GKLPS DASENAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32372,'GKLPS GRASS PHARM','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32373,'GKLPS GUDDADAHALLI (HESARGHATTA)','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32374,'GKLPS HAROHALLI PALYA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32375,'GKLPS KOLUVARAYANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32376,'GKLPS KONDASHETTIHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32377,'GKLPS LINGANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32378,'GKLPS LINGARAJAPURA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32379,'GKLPS MADHUGIRIHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32380,'GKLPS MAVALIPURA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32381,'GKLPS MUTHUGADAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32382,'GKLPS SEETHAKEMPANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','HESARGHATTA',32383,'GKMPS HESARAGHATTA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KAKOLU',32583,'GKLPS KAKKEHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32661,'GKHPS ADDAK MARANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32662,'GKHPS ALURU','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32663,'GKHPS DASANAPURA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32664,'GKHPS HAROKYATHANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32665,'GKHPS HEGADE DEVANA PURA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32666,'GKHPS KUDUREGERE','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32667,'GKHPS NAGARURU','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32668,'GKHPS SHIVANAPURA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32669,'GKLPS ALURPALYA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32670,'GKLPS BOVIPALYA (KUDUREGERE)','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32671,'GKLPS GEJJAGADHAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32672,'GKLPS MARAPPANAPALYA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32673,'GKLPS RAMPALYA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32674,'GKLPS THAMMENAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','KHUDREGERE',32675,'GKLPS THAMMENAHALLI PALYA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33234,'GKHPS BETHANAGERE','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33235,'GKHPS HUSKOOR','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33236,'GKHPS MATHAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33237,'GKHPS  PILLAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33238,'GKHPS TORENAGASANDRA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33239,'GKLPS HOCHENNAPALYA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33240,'GKLPS HONNASANDRA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33241,'GKLPS MAKALI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33242,'GKLPS NARASIPURA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33243,'GKLPS VADERAHALLI (MATHAHALLI)','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33244,'GKHPS GOPALA PURA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33245,'GKLPS AGRAHARAPALYA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33246,'GKLPS BOMMASHETTIHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33247,'GKLPS CHIKKAKUKKANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33248,'GKLPS GOVINDAPURA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33249,'GKLPS HOSAHALLI PALYA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33250,'GKLPS SHAMABATTARA PALYA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','MATHAHALLI',33251,'GKLPS THOTTAGERE','GP',
'SCHOOL','BANGLORE  ','NORTH-4','RAJANAKUNTE',32768,'GKHPS RAJANKUNTE','GP',
'SCHOOL','BANGLORE  ','NORTH-4','RAJANAKUNTE',32770,'GKHPS TARAHUNISE','GP',
'SCHOOL','BANGLORE  ','NORTH-4','RAJANAKUNTE',32771,'GKLPS ADDE','GP',
'SCHOOL','BANGLORE  ','NORTH-4','RAJANAKUNTE',32772,'GKLPS ADDE VISHWANATHAPURA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','RAJANAKUNTE',32773,'GKLPS ADDIGANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','RAJANAKUNTE',32774,'GKLPS GADENAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','RAJANAKUNTE',32777,'GKLPS SADENAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','RAJANAKUNTE',32778,'GKLPS SADENAHALLI LAYOUT','GP',
'SCHOOL','BANGLORE  ','NORTH-4','RAJANAKUNTE',32779,'GKLPS SHREERAMANAHALLI','GP',
'SCHOOL','BANGLORE  ','NORTH-4','RAJANAKUNTE',32780,'GKLPS T. AGRAHARA','GP',
'SCHOOL','BANGLORE  ','NORTH-4','RAJANAKUNTE',32781,'GKLPS THIMMASANDRA (RAJANA KUNTE)','GP',
'SCHOOL','BANGLORE  ','NORTH-4','RAJANAKUNTE',32782,'GKMPS BETTAHALASURU','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','DODDAGOLLARAHATTI',33034,'GKLPS R CHIKKANAHALLI','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32105,'GKHPS CHUNCHANAGUPPE','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32106,'GKHPS DODDAMARANAHALLI','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32107,'GKHPS DODDERI','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32109,'GKHPS KETHOHALLI','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32110,'GKHPS KOLURU','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32111,'GKLPS C K THANDYA','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32112,'GKLPS CHIKKALLURU','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32113,'GKLPS DONNENAHALLI','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32114,'GKHPS GOPALANAGARA','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32115,'GKLPS LAKKAIYANAPALYA','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32116,'GKLPS LAKSHMIPURA (GANAPATHIHALLI)','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32117,'GKLPS MUDDANAPALYA','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32118,'GKLPS PUNUGUMARANAHALLI','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32119,'GKLPS PURADAPALYA','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32120,'GKLPS RAMANAYAKANA THANDYA','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32121,'GKLPS SUBBARAYANAPALYA','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','HULUVENAHALLI',33037,'GKLPS ALAMMANA PALYA','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','HULUVENAHALLI',33038,'GKHPS BYALALU','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','HULUVENAHALLI',33039,'GKHPS CHIKKANA HALLI','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','HULUVENAHALLI',33040,'GKHPS HULUVENA HALLI','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','HULUVENAHALLI',33041,'GKHPS MADAPATTANA','GP',
'SCHOOL','BANGLORE  ','SOUTH-1','HULUVENAHALLI',33042,'GKLPS UDDHANDANA HALLI','GP',
