139,Gauribidanur,INC,SHIVASHANKARA REDDY N H
140,Bagepalli,INC,SAMPANGI N
141,Chikkaballapur,JD(S),K P BACHCHE GOWDA
142,Sidlaghatta,INC,V MUNIYAPPA
143,Chintamani,INC,M C SUDHAKAR
144,Srinivaspur,JD(S),G.K.VENKATA SHIVA REDDY
145,Mulbagal,INC,AMARESH
146,Kolar Gold Field,BJP,Y.SAMPANGI
147,Bangarapet,INC,M.NARAYANASWAMY
148,Kolar,IND,R.VARTHUR PRAKASH
149,Malur,BJP,ES.EN.KRISHNAIAH SHETTY
150,Yelahanka,BJP,S.R.VISHWANATH
151,K.R. Pura,BJP,N.S.NANDIESHA REDDY
152,Byatarayanapura,INC,KRISHNA BYREGOWDA
153,Yeshvanthapura,BJP,SHOBHA KARANDLAJE
154,Rajarajeshwarinagar,BJP,M.SRINIVAS
155,Dasarahalli,BJP,S.MUNIRAJU
156,Mahalakshmi Layout,INC,N.L.NARENDRA BABU
157,Malleshwaram,BJP,DR. ASHWATH NARAYAN C.N
158,Hebbal,BJP,KATTA SUBRAMANYA NAIDU
159,Pulakeshinagar,INC,B. PRASANNA KUMAR
160,Sarvagnanagar,INC,K.J.GEORGE
161,C.V. Raman Nagar,BJP,S. RAGHU
162,Shivajinagar,INC,R.ROSHAN BAIG
163,Shanti Nagar,INC,N.A HARIS
164,Gandhi Nagar,INC,DINESH GUNDU RAO
165,Rajaji Nagar,BJP,SURESH KUMAR S.
166,Govindraj Nagar,INC,PRIYA KRISHNA
167,Vijay Nagar,INC,M.KRISHNAPPA
168,Chamrajpet,JD(S),B.Z.ZAMEER AHMED KHAN
169,Chickpet,BJP,HEMACHANDRA SAGAR.D
170,Basavanagudi,BJP,RAVISUBRAMANYA L.A
171,Padmanaba Nagar,BJP,R.ASHOKA
172,B.T.M. Layout,INC,RAMALINGA REDDY
173,Jayanagar,BJP,B.N.VIJAYA KUMAR
174,Mahadevapura,BJP,ARAVIND LIMBAVALI
175,Bommanahalli,BJP,SATISH REDDY.M
176,Bangalore South,BJP,M KRISHNAPPA
177,Anekal,BJP,A NARAYANASWAMY
178,Hosakote,BJP,B.N.BACHHE GOWDA
179,Devanahalli,INC,VENKATASWAMY
180,Doddaballapur,INC,J.NARASIMHASWAMY
181,Nelamangala,BJP,M.V.NAGARAJU
182,Magadi,JD(S),H C BALAKRISHNA
183,Ramanagaram,JD(S),K. RAJU
184,Kanakapura,INC,D.K.SHIVAKUMAR
185,Channapatna,BJP,C. P. Yogeshwara
186,Malavalli,IND,P M NARENDRASWAMY
187,Maddur,JD(S),M.S.SIDDARAJU
188,Melukote,JD(S),C S PUTTARAJU
189,Mandya,JD(S),M.SRINIVAS
190,Shrirangapattana,JD(S),A.B.RAMESHA BANDISIDDEGOWDA
191,Nagamangala,INC,SURESH GOWDA
192,Krishnarajpet,INC,K B CHANDRASHEKAR
193,Shravanabelagola,JD(S),C. S. PUTTE GOWDA
194,Arsikere,JD(S),K. M. SHIVALINGEGOWDA
195,Belur,INC,RUDRESH GOWDA. Y. N
196,Hassan,JD(S),H. S. PRAKASH
197,Holenarasipur,JD(S),H. D. REVANNA
198,Arkalgud,INC,MANJU. A
199,Sakleshpur,JD(S),H. K. KUMARASWAMY
200,Belthangady,INC,K.VASANTHA BANGERA
201,Moodabidri,INC,K.ABHAYACHANDRA
202,Mangalore City North,BJP,J.KRISHNA PALEMAR
203,Mangalore City South,BJP,N.YOGISH BHAT
204,Mangalore,INC,U.T. KHADAR
205,Bantval,INC,B.RAMANATHA RAI
206,Puttur,BJP,MALLIKA PRASADA
207,Sullia,BJP,ANGARA S
208,Madikeri,BJP,APPACHU (RANJAN)
209,Virajpet,BJP,BOPAIAH. K.G.
210,Piriyapatna,INC,K. VENKATESH
211,Krishnarajanagara,JD(S),S.R MAHESH
212,Hunsur,INC,H.P MANJUNATHA
213,Heggadadevankote,INC,CHIKKANNA
214,Nanjangud,INC,V.SRINIVASA PRASAD
215,Chamundeshwari,INC,M.SATHYANARAYANA
216,Krishnaraja,BJP,S.A.RAMADASS
217,Chamaraja,BJP,H.S.SHANKARALINGEGOWDA
218,Narasimharaja,INC,TANVEER SAIT
219,Varuna,INC,SIDDARAMAIAH
220,T.Narasipur,INC,DR. H.C. MAHADEVAPPA
221,Hanur,INC,R.NARENDRA
222,Kollegal (SC),BJP,G. N. NANJUNDA SWAMY
223,Chamarajanagar,INC,C.PUTTARANGASHETTY
224,Gundlupet,INC,H.S.MAHADEVA PRASAD
225,NOMINATED,NOM.,DERRICK M.B. FULLINFAW
