"BANGLORE  "|"ANEKAL"|"ATTIBELE"|32222|"GKLPS BHAKTHIPURA"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||14||||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"ATTIBELE"|32219|"GKHPS MANCHANAHALLI"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||143||||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"ATTIBELE"|32217|"GKHPS BALLUR"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||304|1|2|2|1|1|"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"ATTIBELE"|32223|"GKLPS HALEHALLI (ATTIBELE)"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||123||||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"ATTIBELE"|32229|"GKMBS ATTIBELE"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||977||||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"ATTIBELE"|32216|"GKHPS ATTIBELE(GIRLS)"|"ANEKAL"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||511|1|1||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32326|"GKLPS AMRUTHNAGAR"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Working"||"Spoke"|||||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32318|"GKHPS BEGIHALLI"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Handed over"|2011||145|1|1|1|1|1|"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32319|"GKHPS BILWARDHANAHALLI"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Working"||"Hub"|370|1|1|2|1||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32322|"GKHPS MALENALLASANDRA"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Handed over"|2011||95|||1|||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32333|"GKLPS SAMPANGIRAMANAGARA"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Handed over"|2011||160||||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32321|"GKHPS KANNA NAYAKANA AGRAHARA"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Working"||"Spoke"|||||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32330|"GKLPS HULLAHALLI"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||276|1|||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32332|"GKLPS LAKSHMIPURA (BANNERUGHATTA)"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||196||||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32331|"GKLPS KALLAKERE"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Handed over"|2011||203|1|1|1|||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32328|"GKLPS CHETHEKERE PALYA(CK PALYA)"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||221|||1|||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32317|"GKHPS BANNERUGHATTA"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Handed over"|2011||680|1|1|1|0|0|"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32325|"GKHPS SAKALAWARA"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||636|1|2|1|1|1|"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32335|"GKLPS SHILINDRADODDI"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Handed over"|2011||250|1|0|0|0|0|"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32329|"GKLPS CHINNAYYANAPALYA (BANNERUGHATA)"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||66||||||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32323|"GKHPS MANTAPA"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Handed over"|2010||931|1|2|1|1||"Mahadeva Nayak"
"BANGLORE  "|"ANEKAL"|"BANNERUGHATTA"|32327|"GKLPS BILWARDHANAHALLI"|"BANGALORE SOUTH"|"BANGALORE RURAL"|"GP"|"Working"||"Spoke"|||||||"Mahadeva Nayak"
