School_Code|acyear|Disabled_C1_Boys|Disabled_C2_Boys|Disabled_C3_Boys|Disabled_C4_Boys|Disabled_C5_Boys|Disabled_C6_Boys|Disabled_C7_Boys|Disabled_C8_Boys|Disabled_C1_Girls|Disabled_C2_Girls|Disabled_C3_Girls|Disabled_C4_Girls|Disabled_C5_Girls|Disabled_C6_Girls|Disabled_C7_Girls|Disabled_C8_Girls
29010301602|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301604|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301701|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301702|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301703|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301705|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301706|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301801|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301802|2010-11|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0
29010301803|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301901|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010301903|2010-11|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0
29010302001|2010-11|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0
29010302101|2010-11|1|0|0|0|2|2|1|0|0|0|0|0|0|0|0|0
29010302102|2010-11|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0
29010302103|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010302105|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010302201|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010302202|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010302301|2010-11|0|0|0|0|0|2|0|0|0|0|0|1|0|2|0|0
29010302401|2010-11|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0
29010302402|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010302403|2010-11|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
29010302408|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010302501|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010302502|2010-11|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
29010302503|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
29010302504|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010302505|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010302601|2010-11|4|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0
29010302602|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010302605|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010302702|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010302801|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010302803|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010302901|2010-11|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
29010302902|2010-11|0|0|0|1|0|1|0|0|0|0|0|0|1|1|0|0
29010302903|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010303001|2010-11|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0
29010303101|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010303102|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010303103|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010303201|2010-11|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0
29010303202|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010303203|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010303301|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
