School_Code|Building_Status|Tot_Clrooms|Classrooms_in_Good_Condition|Classrooms_require_major_repair|Classrooms_require_minor_repair|Other_rooms_in_Good_Cond|Other_rooms_need_major_rep|Other_rooms_need_minor_rep|Toilet_Common|Toilet_Boys|Toilet_Girls|Kitchen_Devices_Grant|Status_of_MDM|Computer_Aided_Learnin_Lab|Separate_Room_for_HeadMaster|Electricity|Boundary_Wall|Library_YN|PlayGround|Blackboard|Books_in_library|Drinking_Water|Medical_Checkup|Ramps|No_of_Computers|Male_Tch|Female_Tch|NoResp_Tch|Head_Teacher|Graduate_Teachers|Tch_with_professional_Qualification|Days_involved_in_non_tch_assgn|Teachers_involved_in_non_tch_assgn
29160403910|1|6|6|0|0|4|0|0|1|1|3|2|2|2|2|1|5|1|1|6|2153|2|1|1|0|8|2|0|0|0|2|0|0
29160402806|1|6|6|0|0|6|0|0|0|2|8|2|0|1|1|1|1|1|1|7|358|2|2|2|0|4|7|0|0|0|0|0|0
29160403604|3|3|3|0|0|5|0|0|2|1|2|1|2|1|1|1|5|1|1|3|900|2|1|2|11|2|6|0|0|1|1|0|0
29030808901|3|7|0|7|0|0|4|0|0|1|1|1|3|1|1|1|5|1|1|7|1200|3|1|1|5|5|2|0|0|0|0|0|0
29060615201|3|4|3|0|1|0|0|1|0|1|1|1|3|2|2|1|1|1|2|2|430|3|1|1|0|3|0|0|0|0|0|0|0
29060618107|1|8|8|0|0|2|0|0|1|0|1|2|1|2|1|2|4|1|1|7|500|3|1|2|0|7|2|0|3|0|0|0|0
29060706001|3|7|3|0|1|1|0|0|0|1|1|2|3|1|2|1|7|1|2|2|3|4|1|2|5|2|5|0|0|0|0|34|7
29080508301|3|9|9|0|0|0|0|0|1|2|1|1|3|2|2|1|7|1|1|10|2200|4|1|1|0|7|3|0|0|0|0|0|0
29080605914|1|11|11|0|0|3|0|0|1|1|1|2|2|2|1|1|5|1|1|11|5000|3|1|2|1|8|2|0|0|0|0|0|0
29280232307|1|10|10|0|0|2|0|0|1|1|1|2|3|2|1|1|3|1|1|12|300|3|1|2|0|2|3|0|0|0|0|0|0
29280208636|1|12|12|0|0|5|0|0|2|5|5|2|0|1|1|1|1|1|1|12|910|2|1|1|15|6|6|0|0|0|4|0|0
29181018903|3|6|4|2|0|1|2|0|0|1|1|1|2|1|1|1|7|1|1|6|1287|3|1|2|11|5|3|0|0|0|0|0|0
29230105302|3|2|0|2|0|0|0|0|0|1|1|2|3|2|2|1|3|1|1|2|340|4|1|2|0|0|1|0|0|0|0|0|0
29140406402|3|2|0|0|1|1|0|0|1|1|1|1|3|2|2|1|5|1|2|4|529|1|1|1|0|0|2|0|0|0|0|0|0
29050108018|1|4|4|0|0|2|0|0|1|0|0|2|0|2|1|1|5|2|1|5|0|4|2|1|0|1|4|0|0|0|0|0|0
29301300909|3|4|4|0|0|4|0|0|1|1|1|1|3|2|1|2|5|1|1|6|120|4|2|1|0|3|0|0|0|0|0|6|1
29100200513|3|2|0|2|0|1|0|0|0|1|1|2|3|2|2|1|5|1|2|5|1500|1|1|1|0|0|2|0|0|0|0|0|0
29320713601|3|5|5|0|0|0|0|0|0|1|1|1|3|2|2|1|1|1|2|6|1540|3|1|2|0|1|5|0|0|0|1|20|2
29120903801|3|10|9|1|0|0|2|0|2|1|1|2|3|1|2|1|5|1|1|10|1400|1|1|1|5|10|1|0|0|1|0|0|0
29120901905|3|4|0|4|0|0|2|0|1|1|1|1|3|2|1|1|5|1|1|8|466|3|1|1|0|1|2|0|0|0|1|0|0
