District_Name|School_Code|School_Name|Block_Name|Cluster_Name|Village_Name|Pincode
YADAGIRI|29330816509|SRI BASAVESHWARA LPS NAGANOOR|SHORAPUR|NAGANUR|NAGANOOR|585216
YADAGIRI|29330818324|CHIRST THE KING HPS RANGAMPET|SHORAPUR|RANGAMPETH|RANGAMPETH|585220
YADAGIRI|29331000601|GOVT HPS ARAKERA (B)|YADGIR|HEDGIMADRA|ARAKERA [B]|585202
YADAGIRI|29331000602|GOVT LPS ARAKERA (B) TANDA|YADGIR|HEDGIMADRA|ARAKERA [B]|585202
YADAGIRI|29330818325|GURUKUL HS RANGAMPET|SHORAPUR|RANGAMPETH|RANGAMPETH|585220
YADAGIRI|29330818326|GURUKUL LPS RANGAMPET|SHORAPUR|RANGAMPETH|RANGAMPETH|585220
YADAGIRI|29330818327|SUSHMA LPS RANGAMPET|SHORAPUR|RANGAMPETH|RANGAMPETH|585220
YADAGIRI|29330819446|AKSHARDHAM LPS R.K.GALLI SURPUR|SHORAPUR|SHORAPUR|SHORAPUR|585224
YADAGIRI|29330819447|SHETTI COMPITETION LPS SHORAPUR|SHORAPUR|SHORAPUR|SHORAPUR|585224
YADAGIRI|29330816706|GLPS URDU NARAYANPUR CAMP|SHORAPUR|NARAYANPUR|NARAYANPUR|585219
YADAGIRI|29330813604|GHS LAKSHMIPUR|SHORAPUR|LAXMIPUR|LAXMAPUR|585304
YADAGIRI|29330816707|GLPS MOUNESHWAR CAMP  NARAYANP|SHORAPUR|NARAYANPUR|NARAYANPUR|585219
YADAGIRI|29330810834|SRI SANGAMESHWAR LPS UKP CAMP|SHORAPUR|KAKKERA|KAKKERA|585285
YADAGIRI|29330810901|GOVT. HPS KAKKERA TANDA|SHORAPUR|KAKKERA|KAKKERA TANDA|585285
YADAGIRI|29330816708|GJC NARAYANPUR|SHORAPUR|NARAYANPUR|NARAYANPUR|585219
YADAGIRI|29330816801|GOVT LPS NARSINGPETH|SHORAPUR|SHORAPUR|NARSINGPETH|585290
YADAGIRI|29330816901|GOVT HPS NINGAPUR M|SHORAPUR|MANJALAPUR|NINGAPUR [M]|585285
YADAGIRI|29330817004|LPS RAMALINGAYYANAKOLLA|SHORAPUR|KEMBHAVI|PARSANHALLI|585216
