schcd|acyear|Working_Days_Primary|Working_Days_UPrimary|Schoool_Hours_Children_Pri|School_Hours_Children_UPri|School_Hours_Tch_P|School_Hours_Tch_UPR|Approachable_by_All_Weather_Road|CCE_implemented|People_Cumilativere_Record_Maintained|PCR_Shared_with_Parents|Children_from_Weaker_Section_Applied|Children_from_Weaker_Section_Enrolled|Aid_Received|Chilren_Admitted_for_Free_Education|SMC_Constituted|SMC_Members_Male|SMC_Members_Female|SMC_Members_Parents_Male|SMC_Members_PArents_Female|SMC_Members_Local_Authority_Male|SMC_Members_Local_Authority_Female|SMC_Meetings_Held|School_Developmentplan_Prepared|SMC_Children_Record_Maintained|Chld_Enrolled_for_Sp_Training_Current_Year_B|Chld_Enrolled_for_Sp_Training_Current_Year_G|Spl_Training_Provided_Current_Year_B|Spl_Training_Provided_Current_Year_G|Spl_Training_Enrolled_Previous_Year_B|Spl_Training_Enrolled_Previous_Year_G|Spl_training_Provided_Previous_Year_B|Spl_Training_Provided_Previous_Year_G|Spl_Training_Conducted_by|Spl_Training_Place|spl_Training_Type|Tch_or_EVS_for_spl_training|Spl_Training_Material|Textbook_Received|Text_Book_Received_Month|Text_Book_Received_Year|Academic_Session_Start_in|MDM_Status|Kitchenshed_Status|MDM_Source|Days_Meals_Served|Meals_Served_Prev_Yr|Students_Opted_MDM_B|Stdents_Opted_MDM_G|Kitchen_Devaices_Grant|Cook_M|Cook_F|Inspections_by_SO|Inspections_by_CM
29190731003|2011-12|234|234|6|6|6|6|1|1|1|1|0|0|0|0|1|8|1|0|0|0|0|3|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|215|0|322|213|2|0|0|0|0
29190701401|2011-12|231|231|6|6|6|6|1|1|1|1|0|0|0|0|1|9|6|6|3|2|0|4|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|239|0|58|63|1|0|0|0|0
29190715201|2011-12|236|236|6|6|6|6|1|1|1|1|0|0|0|0|1|11|5|6|3|5|2|6|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|236|0|44|40|1|0|0|0|0
29190733801|2011-12|236|236|6|6|6|6|1|1|1|1|2|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|1|2|0|0|0|0|0|9|0|0|0|0
29190724001|2011-12|238|238|6|6|6|6|1|1|2|2|0|0|0|0|1|9|6|6|3|3|3|8|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|238|0|88|70|2|0|0|0|0
29150103801|2011-12|235|235|8|8|8|8|1|1|2|2|0|0|0|0|1|10|7|9|6|0|1|14|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|3|1|0|233|0|50|54|1|0|0|0|0
29150520502|2011-12|229|0|8|0|8|0|1|1|1|1|0|0|0|0|1|6|3|6|3|1|0|5|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|5|2011|5|3|1|1|229|0|12|10|1|0|0|0|0
29170626403|2011-12|225|225|7|7|7|7|1|1|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|6|1|2|0|0|0|0|0|2|0|0|0|0
29170715102|2011-12|0|232|0|8|0|8|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|0|2|0|0|0|0|0|2|0|0|0|0
29021100101|2011-12|235|235|8|8|8|8|1|1|1|1|0|0|0|0|1|6|3|10|4|5|2|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|3|1|1|169|0|2576|2692|1|0|0|0|0
