'HEIRARCHY','DISTRICT','PROJ/BLOCK','CIRCLE/CLUSTER','ID','SCHOOLNAME','CATEGORY_DESC','MP CONST.','MP NAME','MLA CONST.','MLA NAME','WARD','CORPORATOR',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','LAGGERE 4TH CIRCLE',30451,'MUDALA PALYA 2','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','GOVINRAJ NAGAR','PRIYA KRISHNA',124,'SHANTHA KUMARI',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','LAGGERE 4TH CIRCLE',30472,'BEERESHWARI NAGAR 1','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','GOVINRAJ NAGAR','PRIYA KRISHNA',127,'SHANTHA KUMARI',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','LAGGERE 4TH CIRCLE',30447,'MUDALA PALYA (SANJEEVINI NAGARA','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','GOVINRAJ NAGAR','PRIYA KRISHNA',124,'SHANTHA KUMARI',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','LAGGERE 4TH CIRCLE',30430,'MUDALA PALYA','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','GOVINRAJ NAGAR','PRIYA KRISHNA',124,'SHANTHA KUMARI',
'PRESCHOOL','BANGALORE','BANGALORE SOUTH(BANASHANKARI)','JEEVANBHIMA NAGAR',29632,'J B NAGAR','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','C.V RAMAN NAGAR','S. RAGHU',118,'CHANDRA SHEKAR',
'PRESCHOOL','BANGALORE','BANGALORE SOUTH(BANASHANKARI)','JEEVANBHIMA NAGAR',29686,'NELLAR PURA','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','C.V RAMAN NAGAR','S. RAGHU',118,'CHANDRA SHEKAR',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','KODIHALLI',29690,'ANANDA PURAM 1ST MAIN','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','C.V RAMAN NAGAR','S. RAGHU',118,'CHANDRA SHEKAR',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','KODIHALLI',34136,'ANANDAPURAM','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','C.V RAMAN NAGAR','S. RAGHU',118,'CHANDRA SHEKAR',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','KODIHALLI',34146,'MALLESHPALYA','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','C.V RAMAN NAGAR','S. RAGHU',57,'SRINIVAS KRISHNA',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','KODIHALLI',34141,'ANANDPURA 2','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','C.V RAMAN NAGAR','S. RAGHU',118,'CHANDRA SHEKAR',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','MURPHY TOWN',34127,'ANANDAPURA','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','C.V RAMAN NAGAR','S. RAGHU',118,'CHANDRA SHEKAR',
