"heirarchy","district","proj/block","circle/cluster","ID","SCHOOLNAME","CATEGORY_DESC"
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'Kengeri circle', 33739, 'HARI COLONY', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'Kengeri circle', 35332, 'GOOD WILL PLAY HOME', 'Independent  Balwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'Varthur ', 29702, 'SIDDHAPURA', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'kadugodi', 29707, 'CHANSANDRA', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'kadugodi', 30577, 'NAGESHVARA NAGENAHALLI', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'kadugodi', 30673, 'KADUGODI PLANTATION', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'kadugodi', 33750, 'NAGANAHALLI COLYONI', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'konnana kunte', 31525, 'GOLLAHALLI 1', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Bangalore south(Banashankari)', 'konnana kunte', 35490, 'KENGUNTE 1', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'NON NOTIFIED SLUM', 'ASHRAYA NAGAR', 35851, 'ASHRAYA NAGAR', 'Akshara Balwadi'
'PRESCHOOL', 'Bangalore', 'NON NOTIFIED SLUM', 'DODDA BANASAWADI', 35874, 'OMBR LAYOUT', 'Akshara Balwadi'
'PRESCHOOL', 'Bangalore', 'NON NOTIFIED SLUM', 'PANTHARAPALYA', 35854, 'PANTHARAPALYA 1', 'Akshara Balwadi'
'PRESCHOOL', 'Bangalore', 'NON NOTIFIED SLUM', 'PANTHARAPALYA', 35855, 'PANTHARAPALYA 2', 'Akshara Balwadi'
'PRESCHOOL', 'Bangalore', 'NON NOTIFIED SLUM', 'PANTHARAPALYA', 35856, 'PANTHARAPALYA 3', 'Akshara Balwadi'
'PRESCHOOL', 'Bangalore', 'NON NOTIFIED SLUM', 'PANTHARAPALYA', 35857, 'PANTHARAPALYA 4', 'Akshara Balwadi'
'PRESCHOOL', 'Bangalore', 'NON NOTIFIED SLUM', 'VERABADRA NAGAR', 35858, 'VERABADRA NAGAR 1', 'Akshara Balwadi'
'PRESCHOOL', 'Bangalore', 'NON NOTIFIED SLUM', 'VERABADRA NAGAR', 35859, 'VERABADRA NAGAR 2', 'Akshara Balwadi'
'PRESCHOOL', 'Bangalore', 'NON NOTIFIED SLUM', 'YARUB NAGAR', 35852, 'YARUB NAGAR 1', 'Akshara Balwadi'
'PRESCHOOL', 'Bangalore', 'NON NOTIFIED SLUM', 'YARUB NAGAR', 35853, 'YARUB NAGAR 2', 'Akshara Balwadi'
'PRESCHOOL', 'Bangalore', 'Sumangali seva Ashrama ', 'Audugodi', 30392, 'AUDUGODI', 'Anganwadi'
