"heirarchy","district","proj/block","circle/cluster","ID","SCHOOLNAME","CATEGORY_DESC","MP Const.","MP Name","MLA Const.","MLA Name","WARD /GRAMA PANCHAYATHI","CORPORATOR/PRESNT of panchayithi"
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",31426,"GIRIPURA 1","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",31397,"VELUMURUGA PURA","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",30424,"CHOLUR PALYA","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",34045,"BHAKSHI GARDEN -3","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",31394,"ANANDA PURAM-5","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kuvempunagar 4th Circle",30992,"SHANKARAMATA (M G SLUM)","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kuvempunagar 4th Circle",31061,"GOVINDARAJANAGARA2","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kuvempunagar 4th Circle",33998,"AGRAHARADASARAHALLI","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kuvempunagar 4th Circle",30641,"NAGAVARAPALYA","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kuvempunagar 4th Circle",30778,"NARAYANARAO COLONY","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kuvempunagar 4th Circle",31057,"GOVINDARAJANAGARA","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kuvempunagar 4th Circle",30630,"F/A NAGAR 2","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",30441,"PADRAYANPURA 5","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34089,"ARFATH NAGAR","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",30428,"PADARAYANAPURA 4","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34060,"MOODALAPALYA - 3","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34058,"MOODALAPALYA - 2","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",31358,"MUSLIM BARIYAL GROUND  XXXX","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34086,"BASVESHWAR SAVASANGA 1","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34087,"ARFATH NAGAR WEST","Anganwadi",,,,,,
