"heirarchy","district","proj/block","circle/cluster","ID","SCHOOLNAME","CATEGORY_DESC","MP Const.","MP Name","MLA Const.","MLA Name","Ward","WARD NO","Corporator"
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",34097,"GANGUNDANAHALLI","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30433,"PANTHAR PALYA-I","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30425,"CHOLUR PALYA 1","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30429,"CHOLUR PALYA 2","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30775,"T.R. SHAMANNA NAGARA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",31477,"NAGAMMA NAGAR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",30449,"MARIYAPPANA PALYA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",31483,"NETAJINAGAR 2ND","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",34075,"BINNIPETE","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",35113,"KAMLANAGARA RESOURCE CENTER BRC 01","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",31478,"NETAJINAGARA 1","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",35112,"KAMALANAGAR 5","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",34147,"J C NAGAR 4 TO BE DELETE","Independent  Balwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Abbigere",31260,"M.S. PALYA- 2","Anganwadi","Bangalore north","D B Chandregowda","Bhyatarayanapura","Krishanabhiegowda",11,,"Yashodamma"
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Abbigere",30883,"KUVEMPUNAGAR II","Anganwadi","Bangalore north","D B Chandregowda","Bhyatarayanapura","Krishanabhiegowda",11,,"Yashodamma"
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bagalu gunte",30777,"MARAMMALAKSHMIDEVASTHANA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bagalu gunte",30782,"MARAMMALAKSHMIDEVASTHANA 2","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bagalu gunte",30744,"TARABANAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31503,"KADUYARAPPANAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31538,"SINGAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",30858,"BAGLUR COLONY","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",33871,"CHAGALETTI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",29710,"MARASANDRA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31493,"GOPAL PURA 1","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31492,"MYLANA HALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31496,"B K HALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",30866,"BAGLUR 1","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",30886,"RAZZAQ PALYA 2","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",30881,"RAZZAQ PALYA1","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31498,"BAYALA HALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31275,"YADIYURU","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31495,"MAHADEVA KODIGE HALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",29712,"CHOKKANA HALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",30855,"B.S. PALYA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31271,"HOOVINAYAKAN HALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31276,"HUNSURU","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",33889,"MARANAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31504,"B.K.H.PALYA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31532,"AREBANNIMANGALA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31283,"MANCHAPANA HALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",30870,"BAGLUR 2","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31251,"MARALUKUNTE","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31281,"HOSAHALLI  M","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",33870,"MARANAHALLI BANDE","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",33890,"DASANAYAKANAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30856,"BETTAHALASURU 2","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30841,"NARYIANAPURA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30843,"MUTHUGADAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",33639,"TARAHUNASE I","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30871,"SUBHASHNAGARA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",33809,"HUNASEMARANA HALLI 2","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",34016,"SATANUR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30834,"BETTAHALASURU 1","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",31224,"VIDYA NAGARA CROSS 1","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30854,"HOSAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30848,"KUDERAGERE (EX)","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",31274,"SONNAPANAHALLI 2","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30830,"SHAKTHINAGAR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30844,"KODAGALAHATTI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30862,"KADIGANAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",33805,"GADENAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",34017,"SATANUR  DELET","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",34020,"VIDYANAGAR-III","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",33645,"T AGRAHARA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",33806,"SRINIVASPURA 1","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",33642,"TARAHUNASE 2","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",33644,"THIMMASANDRA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",31259,"SONNAPANAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30850,"SUGGATTA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",31265,"VIDYANAGAR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30868,"BILLAMARNAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",31220,"VIDYA NAGARA CROSS","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30863,"HUNUSUMARANA HALLI 1","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",30849,"KUDERAGERE","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bettahalasuru",33832,"BHARTHI NAGAR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Chikkajala",31319,"CHANNAHALLI 1","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Chikkajala",31535,"MEESUGANA HALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Chikkajala",31497,"SHRINIVASA PURA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Chikkajala",31318,"CHIKKAJALA 2","Anganwadi",,,,,,,
