'TYPE','DISTRICT','BLOCK','CLUSTER','ID','SCHOOLNAME','CATEGORY','MP CONSTITUENCY','MP NAME','MLA CONSTITUENCY','MLA NAME','WARD NAME','REPRESENTATIVE CORPORATER','WARD NO'
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34062,'MOODALAPALYA - 4',,'BANGALORE SOUTH','ANANTHKUMAR','GOVINDARAJ NAGARA','PRIYAKRISHNA','MOODALAPALYA','SHANTHAKUMARI',127
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34080,'MUDALAPALYA',,'BANGALORE SOUTH','ANANTHKUMAR','GOVINDARAJ NAGARA','PRIYAKRISHNA','MOODALAPALYA','SHANTHAKUMARI',127
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',35478,'KALYAN NAGAR',,'BANGALORE SOUTH','ANANTHKUMAR','GOVINDARAJ NAGARA','PRIYAKRISHNA','MOODALAPALYA','SHANTHAKUMARI',127
'SCHOOL','BANGLORE  ','SOUTH-2','ARUNDHATHINAGAR',33077,'GKHPS MUDALAPALYA',,'BANGALORE SOUTH','ANANTHKUMAR','GOVINDARAJ NAGARA','PRIYAKRISHNA','NAGARABHAVI','UMESHSHETTY',128
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30413,'G G HALLI',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','NAYANDAHALLI','RAJESHWARI',131
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30431,'NAYANDANAHALLI',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','NAYANDAHALLI','RAJESHWARI',131
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30433,'PANTHAR PALYA-I',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','NAYANDAHALLI','RAJESHWARI',131
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',31418,'GANGONDHANAHALLI   2',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','NAYANDAHALLI','RAJESHWARI',131
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',34097,'GANGUNDANAHALLI',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','NAYANDAHALLI','RAJESHWARI',131
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',35115,'ARUNDHOTHINAGAR',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','NAYANDAHALLI','RAJESHWARI',131
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',35485,'GANGANDANA HALLI',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','NAYANDAHALLI','RAJESHWARI',131
'SCHOOL','BANGLORE  ','SOUTH-2','HOSAHALLI',32253,'GUHPS OLD GUDDADAHALLI',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYNAGAR','M.KRISHNAPPA','BAPUJINAGARA','V KRISHNA',134
'PRESCHOOL','BANGALORE','BANGALORE STATE','BANASHANKARI',30518,'CAUVERI NAGAR 2',,'BANGALORE SOUTH','ANANTHKUMAR','PADMANABHANAGAR','ASHOKA R','BANASHANKARI','BASAVARAJU',134
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETRAVATHI',34105,'TIMBARYARD SLUM',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','BAPUJINAGARA','KRISHNA V',134
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30334,'BYATARYAN PURA-II',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','BAPUJINAGARA','KRISHNA V',134
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30379,'AVALAHALLI HOSABADAVANE',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','BAPUJINAGARA','KRISHNA V',134
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30650,'BAPUJINAGARA I',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','BAPUJINAGARA','KRISHNA V',134
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30775,'T.R. SHAMANNA NAGARA',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','BAPUJINAGARA','KRISHNA V',134
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',33977,'KASTURABHANAGAR-I',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','BAPUJINAGARA','KRISHNA V',134
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',33978,'BYATARAYANAPUR-I',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','BAPUJINAGARA','KRISHNA V',134
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',34036,'BYRAVESHWARA NAGARA',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','BAPUJINAGARA','KRISHNA V',134
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',34044,'BAIRAVESHVARANAGARA',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','BAPUJINAGARA','KRISHNA V',134
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KITHURU RANI CHANNAMMA 3RD CIRCLE',30463,'GORIPALYA (PADARAYANAPURA)',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
